timestamp,coin,price,market_cap,volume
2026-03-23 14:54:31.034361,bitcoin,68297.0,1364942469339.7205,33688441343.329216
2026-03-23 14:54:31.034361,ethereum,2043.75,246460377759.7949,14999267742.7567
2026-03-23 14:59:31.691141,bitcoin,68196.0,1363707823198.6494,30872252201.728653
2026-03-23 14:59:31.691141,ethereum,2041.96,246347047527.15204,14978678921.77401
2026-03-23 15:04:32.709258,bitcoin,68129.0,1362778340951.8948,33685863824.78499
2026-03-23 15:04:32.709258,ethereum,2038.36,246013001719.1842,14995113002.697226
2026-03-23 16:38:30.986288,bitcoin,70527.0,1371193019596.5986,36695245756.49248
2026-03-23 16:38:30.986288,ethereum,2128.09,256942448875.1178,16569010013.817442
2026-03-23 16:43:31.517377,bitcoin,70992.0,1409334687807.1155,38858188691.316864
2026-03-23 16:43:31.517377,ethereum,2161.88,256942448875.1178,17796718781.925266
2026-03-23 16:48:32.567180,bitcoin,70940.0,1409334687807.1155,36900621685.16281
2026-03-23 16:48:32.567180,ethereum,2180.96,263282750024.936,18173983101.57047
2026-03-23 16:53:33.339932,bitcoin,70750.0,1416529979596.784,41044544846.665855
2026-03-23 16:53:33.339932,ethereum,2168.05,261866060997.9719,19656027013.4503
2026-03-23 16:58:34.247318,bitcoin,70687.0,1411343016304.5928,41629980273.2829
2026-03-23 16:58:34.247318,ethereum,2166.93,259966060722.4899,19304118347.7084
2026-03-23 17:03:35.953674,bitcoin,70883.0,1413637296242.2664,42178939308.5975
2026-03-23 17:03:35.953674,ethereum,2171.36,262011441393.0249,20350083261.197548
2026-03-23 17:08:36.653241,bitcoin,70747.0,1415951684455.4312,42594222174.36733
2026-03-23 17:08:36.653241,ethereum,2163.85,261885175969.53772,20596488256.749134
2026-03-23 17:19:37.845929,bitcoin,70327.0,1413683488734.8691,43287523506.314804
2026-03-23 17:19:37.845929,ethereum,2142.5,260303755833.1753,20928354752.56865
2026-03-23 17:24:38.612947,bitcoin,70402.0,1406437385921.3425,43302715873.54622
2026-03-23 17:24:38.612947,ethereum,2148.99,258611976388.83765,19515080235.306213
2026-03-23 17:29:39.315148,bitcoin,70102.0,1402310189117.5645,39983137291.74102
2026-03-23 17:29:39.315148,ethereum,2139.11,258216933556.18542,20531993915.353325
2026-03-23 17:34:40.199840,bitcoin,69765.0,1402310189117.5645,43820709660.28725
2026-03-23 17:34:40.199840,ethereum,2116.37,258216933556.18542,21499225105.155006
2026-03-23 17:39:40.711110,bitcoin,69846.0,1402310189117.5645,44140387170.08932
2026-03-23 17:39:40.711110,ethereum,2116.97,258216933556.18542,21686809385.19236
2026-03-23 17:44:41.160295,bitcoin,70060.0,1399020420108.4675,44035772583.688065
2026-03-23 17:44:41.160295,ethereum,2121.71,256013481729.18997,21966786621.698254
2026-03-23 17:49:41.560874,bitcoin,70174.0,1399020420108.4675,44688907127.168045
2026-03-23 17:49:41.560874,ethereum,2121.52,256013481729.18997,22071899876.29754
2026-03-23 17:54:41.942159,bitcoin,70421.0,1406962177845.439,40527364080.06157
2026-03-23 17:54:41.942159,ethereum,2129.73,256817224384.4181,19799025427.554398
2026-03-23 17:59:42.389892,bitcoin,70274.0,1406823273954.0127,44537195188.65231
2026-03-23 17:59:42.389892,ethereum,2123.35,256549758636.17645,21381645793.832634
2026-03-23 18:04:42.894244,bitcoin,70292.0,1405598664655.1448,44708487653.07256
2026-03-23 18:04:42.894244,ethereum,2126.61,256536363354.73697,22393619150.389973
2026-03-23 18:14:06.915723,bitcoin,70613.0,1407343343738.843,45441613854.83883
2026-03-23 18:14:06.915723,ethereum,2139.03,256863664217.84796,22799027684.036556
2026-03-23 18:19:07.295441,bitcoin,70789.0,1414078756940.612,45724738987.71558
2026-03-23 18:19:07.295441,ethereum,2145.03,258669263168.51166,22754787453.985275
2026-03-23 18:24:07.726992,bitcoin,70791.0,1414890655232.5298,45893681964.20225
2026-03-23 18:24:07.726992,ethereum,2144.87,258859261151.23016,22913558485.517128
2026-03-23 18:29:08.188503,bitcoin,70618.0,1413179188449.5435,45028113502.923744
2026-03-23 18:29:08.188503,ethereum,2141.25,258462620824.37027,22792595334.257275
2026-03-23 18:34:08.587934,bitcoin,70690.0,1414980401708.4893,46178620722.548546
2026-03-23 18:34:08.587934,ethereum,2144.17,259093110395.4211,23201170887.07324
2026-03-23 18:39:09.009445,bitcoin,70636.0,1412617677756.6196,46035728870.451126
2026-03-23 18:39:09.009445,ethereum,2142.35,258461428123.13995,22681433821.192505
2026-03-23 18:44:09.464321,bitcoin,70688.0,1412617677756.6196,46147764738.2711
2026-03-23 18:44:09.464321,ethereum,2145.32,258461428123.13995,23152674487.21596
2026-03-23 18:49:09.910426,bitcoin,70777.0,1415687998466.5732,46436472413.384575
2026-03-23 18:49:09.910426,ethereum,2147.44,259199755765.67676,22494569866.989952
2026-03-23 18:54:10.287271,bitcoin,70846.0,1417110063216.3489,46461882366.69269
2026-03-23 18:54:10.287271,ethereum,2151.22,259591148938.04047,23295965300.584362
2026-03-23 18:59:10.673091,bitcoin,70819.0,1416537511732.5066,46212630544.23685
2026-03-23 18:59:10.673091,ethereum,2150.77,259656498366.4824,21895870969.52109
2026-03-23 19:04:11.122627,bitcoin,70728.0,1415312045018.5146,46047647883.67717
2026-03-23 19:04:11.122627,ethereum,2147.46,259260091192.6714,23448283144.893425
2026-03-23 19:09:11.553383,bitcoin,70928.0,1417750415205.6094,47050012735.52309
2026-03-23 19:09:11.553383,ethereum,2152.07,259556389677.8818,23758488036.858448
2026-03-23 19:14:13.968168,bitcoin,71124.0,1421960910986.8425,46846715236.23436
2026-03-23 19:14:13.968168,ethereum,2161.44,260464383348.0781,23727664866.274704
2026-03-23 19:19:14.348197,bitcoin,71170.0,1424381705548.5151,47253055968.86564
2026-03-23 19:19:14.348197,ethereum,2166.16,261658063943.20615,24021543107.107914
2026-03-23 19:24:14.824358,bitcoin,71414.0,1428701943310.178,47826259882.31173
2026-03-23 19:24:14.824358,ethereum,2180.22,263224940840.51678,24496307574.204548
